FID,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,Shape__Area,Shape__Length,CTPRVN_CD
95,41290,Gwacheon-si,과천시,35822482.07,30873.89558,41
96,41310,Guri-si,구리시,33195769.84,33139.15781,41
97,41360,Namyangju-si,남양주시,459297558.3,110521.8962,41
98,41370,Osan-si,오산시,42630399.98,39710.21149,41
99,41390,Siheung-si,시흥시,134334388.8,92728.93572,41
100,41410,Gunpo-si,군포시,36423179.66,32224.06178,41
101,41430,Uiwang-si,의왕시,53827384.86,45008.50886,41
102,41450,Hanam-si,하남시,92761274.12,57244.86488,41
103,41461,"Cheoin-gu, Yongin-si",용인시처인구,467494470.4,156239.0097,41
104,41463,"Giheung-gu, Yongin-si",용인시기흥구,81762736.22,49776.74442,41
105,41465,"Suji-gu, Yongin-si",용인시수지구,42084988.28,39815.53214,41
106,41480,Paju-si,파주시,682355990,176476.5349,41
107,41500,Icheon-si,이천시,461499014.2,147706.1346,41
108,41550,Anseong-si,안성시,552897196.6,168373.768,41
109,41570,Gimpo-si,김포시,277622019.2,113871.7623,41
110,41590,Hwaseong-si,화성시,689041405.6,397971.7842,41
111,41610,Gwangju-si,광주시,429647833,134403.9816,41
112,41630,Yangju-si,양주시,310258463.6,112195.5487,41
113,41650,Pocheon-si,포천시,825157607.2,204314.8661,41
114,41670,Yeoju-si,여주시,606851837.1,156715.1294,41
115,41800,Yeoncheon-gun,연천군,666427246.2,761344.0279,41
116,41820,Gapyeong-gun,가평군,840070747.2,187012.573,41
117,41830,Yangpyeong-gun,양평군,876089034.3,201913.8388,41
118,42110,Chuncheon-si,춘천시,1114627795,239930.9023,42
119,42130,Wonju-si,원주시,866261487.7,208199.3811,42
120,42150,Gangneung-si,강릉시,1038297722,213063.4329,42
121,42170,Donghae-si,동해시,180414780.3,90890.8721,42
122,42190,Taebaek-si,태백시,303223080.3,119751.7261,42
123,42210,Sokcho-si,속초시,105495695.7,70288.50051,42
124,42230,Samcheok-si,삼척시,1184218921,249578.6234,42
125,42720,Hongcheon-gun,홍천군,1816157489,343862.968,42
126,42730,Hoengseong-gun,횡성군,996177961.1,223321.2662,42
127,42750,Yeongwol-gun,영월군,1126917597,296076.7003,42
128,42760,Pyeongchang-gun,평창군,1462767505,259157.0278,42
